State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Gujarat,"District Kheda (16), Gujarat (24)",2024216,1052823,971393,13.24,395493,5,923,875,1.6,Hindus,1775214,Muslims,218660,Christians,23178,1243363,769426,473937,71.96,85.99,56.9,1243363,11755,351172,343682,180020,299712,56489,207619,433219,1231913,151465,908180,694400,213780,1116036,612,612,612,612,612,NA,306,44.3,50.2,5.4
Gujarat,"District Panch Mahals (17), Gujarat (24)",2025277,1044937,980340,20.36,360862,6,938,934,27.45,Hindus,1897034,Muslims,120676,Others,4382,1025835,659346,366489,60.92,75.91,44.94,1025835,12135,302434,276113,156973,239821,37261,243351,489499,1147811,144616,976726,616885,359841,1048551,1201,1201,1200,1201,1182,NA,378,32,59.5,8.5
Gujarat,District Dohad,1636433,824208,812225,28.35,244009,7,985,966,72.26,Hindus,1571017,Muslims,52632,Christians,8907,588074,385340,202734,45.15,58.88,31.28,588074,9252,194817,145165,87404,130333,20770,237608,444558,864462,89805,814590,496410,318180,821843,693,693,693,692,690,NA,182,25.4,54.3,20.2
Gujarat,"District Vadodara (19), Gujarat (24)",3641802,1897368,1744434,19.8,739276,5,919,885,26.56,Hindus,3258593,Muslims,317194,Others,31566,2228008,1309347,918661,70.76,80.04,60.73,2228008,20092,544745,532329,314118,596035,219863,343856,760663,2277521,259762,1518845,1202620,316225,2122957,1548,1548,1548,1532,1488,NA,242,64.1,28.9,6.9
Gujarat,District Narmada,514404,263986,250418,14.4,104038,5,949,945,78.08,Hindus,482552,Muslims,20429,Christians,5122,259472,161092,98380,59.86,72.44,46.61,259472,2940,88671,72778,39196,47023,8831,56690,121680,299481,36553,259116,176372,82744,255288,552,552,544,530,515,NA,58,20.2,72,7.8
Gujarat,"District Bharuch (21), Gujarat (24)",1370656,713676,656980,19.32,282677,5,921,917,32.4,Hindus,1059796,Muslims,293459,Christians,8824,875519,508240,367279,74.41,82.98,65.11,875519,7217,245062,242665,125810,203903,49957,136360,298528,838899,96869,570693,469551,101142,799963,657,657,654,656,644,NA,136,53.9,43.5,2.6
Gujarat,"District Surat (22), Gujarat (24)",4995174,2722539,2272635,47.04,1027843,5,835,871,28.19,Hindus,4350795,Muslims,447951,Others,86607,3206404,1914423,1291981,74.65,81.51,66.36,3206404,21145,749869,897529,499495,847536,189593,488467,1040002,3201010,265695,2182509,1981266,201243,2812665,1167,1167,1167,1165,1134,NA,239,66.4,30.8,2.8
Gujarat,"District The Dangs (23), Gujarat (24)",186729,93974,92755,29.58,36498,5,987,974,93.76,Hindus,165436,Christians,17760,Muslims,2792,89586,53339,36247,59.65,70.68,48.51,89586,1047,38529,25573,11049,11161,2217,26723,50300,99392,10314,92993,68599,24394,93736,311,311,311,311,309,NA,25,7.9,89.2,2.9
Gujarat,District Navsari,1229463,628988,600475,13.22,257161,5,955,915,48.08,Hindus,1135525,Muslims,69972,Others,13575,819146,456108,363038,75.83,82.77,68.61,819146,5025,199422,204846,130100,227515,51890,105347,246389,779087,98640,545215,457002,88213,684248,374,374,374,374,368,NA,148,57.6,40.4,2
Gujarat,"District Valsad (25), Gujarat (24)",1410553,734799,675754,29.66,289159,5,920,933,54.76,Hindus,1300005,Muslims,66440,Christians,15399,833257,489578,343679,69.15,77.9,59.62,833257,8035,206715,200325,133866,225426,58659,145699,302177,870571,92106,650257,503333,146924,760296,450,450,450,425,449,NA,115,53.1,44.3,2.6
Haryana,"District Panchkula * (01), Haryana (06)",468411,256939,211472,51.16,92593,5,823,828,NA,Hindus,410120,Sikhs,36194,Muslims,18297,297795,178592,119203,74,80.87,65.65,297795,3801,50241,64345,41250,89592,48484,45405,101024,287808,34174,178644,150353,28291,289767,224,222,222,224,193,93,84,76,17.2,6.8
Haryana,"District Ambala (02), Haryana (06)",1014411,542977,471434,25.69,184319,6,868,781,NA,Hindus,856193,Sikhs,132463,Muslims,17263,662789,384828,277961,75.31,82.31,67.39,662789,5297,113292,177353,115883,192036,58843,91763,226242,608815,87591,324521,275648,48873,689890,482,482,482,479,432,188,216,73.9,19.6,6.5
Haryana,"District Yamunanagar (03), Haryana (06)",1041630,559444,482186,21.84,183238,6,862,805,NA,Hindus,849255,Muslims,104073,Sikhs,83524,638711,375462,263249,71.63,78.82,63.39,638711,8954,126259,182389,113863,165121,42063,102685,245320,608700,84925,336533,280728,55805,705097,613,613,613,607,483,161,157,65.8,22.7,11.5
Haryana,"District Kurukshetra (04), Haryana (06)",825454,442328,383126,23.72,142950,6,866,771,NA,Hindus,675381,Sikhs,135545,Muslims,12028,494873,293615,201258,69.88,78.06,60.61,494873,5270,108187,143229,82975,122395,32775,80359,194974,483884,66237,308392,250596,57796,517062,407,402,402,406,385,139,109,67.4,27.8,4.8
Haryana,"District Kaithal (05), Haryana (06)",946131,510513,435618,20.95,164258,6,853,790,NA,Hindus,848765,Sikhs,88700,Muslims,6777,472563,296857,175706,59.02,69.15,47.31,472563,6201,126436,143353,76312,100857,19385,98741,239059,529982,78349,372011,268127,103884,574120,270,270,270,270,261,147,185,38.4,58.5,3.1
Haryana,"District Karnal (06), Haryana (06)",1274183,683368,590815,23.13,224230,6,865,808,NA,Hindus,1125279,Sikhs,123160,Muslims,22614,732609,440070,292539,67.74,76.29,57.97,732609,8113,166169,208280,123098,180013,46851,130815,317912,729685,95771,455455,355466,99989,818728,422,422,422,422,385,188,170,55.3,40,4.7
Haryana,"District Panipat (07), Haryana (06)",967449,528860,438589,38.57,174388,6,829,808,NA,Hindus,873593,Muslims,59696,Sikhs,27437,559478,346329,213149,69.17,78.5,57.97,559478,6963,122396,147276,96105,151277,35403,107680,248244,546535,64990,382801,289013,93788,584648,179,179,179,179,168,110,104,60.8,35.8,3.4
Haryana,"District Sonipat (08), Haryana (06)",1279175,695723,583452,22.36,223342,6,839,788,NA,Hindus,1234225,Muslims,31954,Others,6729,788105,486601,301504,72.79,83.06,60.68,788105,9201,161024,193323,133517,247039,43912,134152,319274,719781,105968,523031,383449,139582,756144,323,323,323,323,316,232,255,57.3,41,1.6
Haryana,"District Jind (09), Haryana (06)",1189827,642282,547545,21.35,204942,6,852,818,NA,Hindus,1134539,Sikhs,29159,Muslims,20618,622654,397972,224682,62.12,73.82,48.51,622654,9882,161970,181858,98902,145996,23995,126722,305862,659697,97546,521946,372049,149897,667881,306,306,306,306,300,210,200,22.6,76.1,1.3
Haryana,"District Fatehabad * (10), Haryana (06)",806158,427862,378296,24.76,142017,6,884,828,NA,Hindus,660331,Sikhs,136660,Muslims,6554,392178,243492,148686,57.98,68.22,46.53,392178,9522,110228,120062,59284,78653,14390,87207,208122,446652,64177,362975,261623,101352,443183,243,243,243,241,237,152,128,56.4,29.1,14.4
Haryana,"District Sirsa (11), Haryana (06)",1116649,593245,523404,22.96,194809,6,882,817,NA,Hindus,801747,Sikhs,302942,Muslims,7056,574624,350958,223666,60.55,70.05,49.93,574624,10952,153153,172232,90443,120460,27303,112757,280947,632111,90834,475571,363946,111625,641078,321,321,321,318,312,157,123,59.3,15.7,25
Haryana,"District Hisar (12), Haryana (06)",1537117,830520,706597,27.06,272738,6,851,831,NA,Hindus,1497776,Muslims,17431,Sikhs,14617,842302,536521,305781,64.83,76.57,51.08,842302,11521,206809,228924,131189,214909,48813,160417,389819,871309,115572,665572,516817,148755,871545,272,272,272,272,260,223,269,48.5,46.2,5.3
Haryana,"District Bhiwani (13), Haryana (06)",1425022,758253,666769,22.45,246742,6,879,840,NA,Hindus,1407363,Muslims,12740,Sikhs,2542,809896,510805,299091,67.45,80.26,53,809896,13158,190479,227844,135464,207427,35372,153417,362400,789684,119521,609320,425210,184110,815702,437,437,437,437,429,321,363,70.5,25.6,3.8
Haryana,"District Rohtak (14), Haryana (06)",940128,509038,431090,20.99,167593,6,847,798,NA,Hindus,924541,Muslims,5665,Sikhs,5079,592485,360566,231919,73.72,83.23,62.59,592485,8102,112757,141601,100047,182301,47537,92528,223019,538188,86393,371073,288225,82848,569055,146,146,146,146,130,117,140,57.6,40,2.4
Haryana,"District Jhajjar * (15), Haryana (06)",880072,476475,403597,24.09,158075,6,847,800,NA,Hindus,869258,Muslims,8311,Sikhs,1281,541635,335836,205799,72.38,83.27,59.65,541635,5383,104085,139426,100081,167785,24836,90743,210661,501303,77365,388715,276208,112507,491357,247,247,247,246,238,164,150,78.3,19.8,1.8
Haryana,"District Mahendragarh (16), Haryana (06)",812521,423578,388943,19.09,135218,6,918,817,NA,Hindus,805991,Muslims,3434,Sikhs,2026,478296,299145,179151,69.89,84.72,54.08,478296,5119,106547,138412,91716,117411,19064,87680,206469,443044,75328,351864,204704,147160,460657,368,368,368,368,350,164,121,93.8,3.7,2.5
Haryana,"District Rewari (17), Haryana (06)",765351,403034,362317,25.24,135560,6,899,811,NA,Hindus,758328,Muslims,3194,Sikhs,1668,488190,299560,188630,75.25,88.45,60.83,488190,5104,94485,126813,93964,141258,26537,80482,183830,435170,65869,333622,204855,128767,431729,397,397,397,397,379,165,151,93.6,3.9,2.5
Haryana,"District Gurgaon (18), Haryana (06)",1660289,886451,773838,44.64,273881,6,873,857,NA,Hindus,1026542,Muslims,617918,Sikhs,6672,834693,538508,296185,62.91,76.17,47.78,834693,18447,195476,202181,129579,212394,76434,231670,461813,854542,112264,629658,464644,165014,1030631,694,694,694,693,642,228,186,86,5.9,8.1
Haryana,"District Faridabad (19), Haryana (06)",2194586,1193063,1001523,48.47,391426,6,839,849,NA,Hindus,1896698,Muslims,247293,Sikhs,36005,1269801,804492,465309,70.03,81.52,56.31,1269801,18992,277239,287742,204851,354094,126692,258516,581250,1213106,141714,785762,609663,176099,1408824,413,413,413,413,376,185,161,87.9,7.3,4.8
Himachal Pradesh,"District Chamba (01), Himachal Pradesh (02)",460887,235218,225669,17.09,87029,5,959,954,25.51,Hindus,428134,Muslims,26801,Sikhs,2497,246169,152533,93636,62.91,76.41,48.85,246169,4354,72121,75341,34228,51105,8997,48539,114767,263226,34355,230452,128452,102000,230435,1118,1118,1108,1111,852,290,172,61.5,37,1.5
Himachal Pradesh,"District Kangra (02), Himachal Pradesh (02)",1339030,661254,677776,14.01,272487,5,1025,835,0.12,Hindus,1301544,Muslims,15951,Buddhists,10615,940505,500383,440122,80.08,87.54,73.01,940505,11092,163622,259382,174315,287036,44916,116273,283533,800028,139196,588994,336649,252345,750036,3619,3619,3617,3602,1869,725,466,37.5,60.4,2.1
Himachal Pradesh,"District Lahul & Spiti (03), Himachal Pradesh (02)",33224,18441,14783,6.17,7999,4,802,961,72.95,Buddhists,19535,Hindus,13428,Muslims,134,21609,13726,7883,73.1,82.82,60.7,21609,1333,5282,5439,3288,5098,1164,2547,5764,21990,2923,21088,19209,1879,12136,287,287,266,250,189,57,42,21.8,42.7,35
Himachal Pradesh,"District Kullu (04), Himachal Pradesh (02)",381571,198016,183555,25.6,76902,5,927,959,2.97,Hindus,363646,Buddhists,13789,Muslims,1788,239649,143655,95994,72.9,83.98,60.88,239649,3747,65666,68910,35947,53725,11636,36725,89355,227149,28342,216513,166715,49798,165058,172,172,172,172,171,122,96,87.9,11,1.1
Himachal Pradesh,"District Mandi (05), Himachal Pradesh (02)",901344,447872,453472,16.05,182378,5,1013,918,1.17,Hindus,885097,Muslims,8309,Sikhs,4753,587884,331171,256713,75.24,85.94,64.82,587884,7906,119193,165195,95535,173205,26714,85369,196391,535660,83924,454292,269076,185216,447052,2833,2833,2833,2827,1621,498,315,82.5,16.9,0.6
Himachal Pradesh,"District Hamirpur (06), Himachal Pradesh (02)",412700,196593,216107,11.62,86771,5,1099,850,0.04,Hindus,408130,Muslims,3489,Sikhs,547,298498,152537,145961,82.46,90.15,75.7,298498,2529,44767,79284,59251,96848,15783,36232,85853,240029,50586,205405,119870,85535,207295,1635,1635,1634,1619,555,224,163,41.1,56.8,2.1
Himachal Pradesh,"District Una (07), Himachal Pradesh (02)",448273,224524,223749,18.43,88181,5,997,837,0.01,Hindus,412491,Sikhs,23372,Muslims,11632,312278,168450,143828,80.37,87.73,73.18,312278,3377,55738,88129,57583,93782,13646,42138,97088,259046,50001,201658,119050,82608,246615,758,758,756,756,415,193,145,67.2,25.5,7.4
Himachal Pradesh,"District Bilaspur (08), Himachal Pradesh (02)",340885,171263,169622,15.35,65750,5,990,881,2.69,NA,331772,NA,5938,NA,2696,231733,127738,103995,77.76,86.04,69.55,231733,3082,38795,67592,42373,68148,11726,30878,71841,201734,36432,166708,110652,56056,174177,965,965,963,962,544,168,102,70.5,27.9,1.6
Himachal Pradesh,"District Solan (09), Himachal Pradesh (02)",500557,270291,230266,30.64,99317,5,852,900,0.71,NA,475595,NA,11479,NA,11053,332410,199444,132966,76.57,84.75,66.89,332410,4363,62747,88573,58832,94957,22900,47189,103238,312929,37201,263445,172274,91171,237112,2388,2386,2332,2383,798,227,129,69.9,25.6,4.6
Himachal Pradesh,"District Sirmaur (10), Himachal Pradesh (02)",458593,241299,217294,20.72,81441,6,901,934,1.3,NA,418214,NA,25618,NA,12105,274643,163415,111228,70.39,79.36,60.37,274643,5362,78462,82376,41188,54470,12755,48301,110941,264905,34446,225872,175913,49959,232721,966,966,952,964,694,227,121,77.6,17.1,5.3
Himachal Pradesh,"District Shimla (11), Himachal Pradesh (02)",722502,380996,341506,16.9,154693,5,896,929,0.57,Hindus,704150,Muslims,8493,Sikhs,4825,504330,293745,210585,79.12,87.19,70.07,504330,11640,97060,114805,78995,153284,48464,59305,149801,455784,57612,370223,305709,64514,352279,2520,2519,2493,2508,1363,453,288,83.2,14.6,2.2
Himachal Pradesh,"District Kinnaur (12), Himachal Pradesh (02)",78334,42173,36161,17.79,18641,4,857,979,71.83,Hindus,58021,Buddhists,19405,Christians,324,51913,31589,20324,75.2,84.3,64.4,51913,775,13424,14945,9158,11537,2069,6691,15631,48750,7262,47811,40313,7498,30523,234,196,188,232,158,76,60,48.9,45.1,5.9
Jharkhand,"District Garhwa * (01), Jharkhand (20)",1035464,535332,500132,29.05,174264,6,934,962,15.35,Hindus,867775,Muslims,149102,Christians,12353,317078,228151,88927,39.21,54.36,22.87,317078,13092,100712,92857,48324,51170,10916,150755,309986,505880,68843,402921,231057,171864,632543,858,858,849,190,566,155,42,8.9,90.4,0.7
Jharkhand,"District Palamu (02), Jharkhand (20)",2098359,1084417,1013942,26.8,352829,6,935,967,18.7,Hindus,1740948,Muslims,242980,Others,63100,750293,510338,239955,44.95,58.91,29.88,750293,33789,206209,216865,107506,150002,35898,280238,618580,1061090,138451,793658,444921,348737,1304701,2465,2465,2461,410,1474,335,NA,13.5,84.9,1.6
Jharkhand,"District Chatra * (03), Jharkhand (20)",791434,404067,387367,29.05,129348,6,959,975,3.84,Hindus,687846,Muslims,92434,Others,4999,270256,177950,92306,43.24,55.64,30.24,270256,11234,94507,81157,35306,39319,8712,109657,239539,394155,48083,299108,188843,110265,492326,1343,1343,1343,131,558,104,4,16,82.6,1.4
Jharkhand,"District Hazaribagh (04), Jharkhand (20)",2277475,1167793,1109682,24.02,391606,6,950,965,11.78,Hindus,1870586,Muslims,337117,Others,36789,1069890,683590,386300,57.74,71.81,42.87,1069890,19873,321029,282228,166762,214238,65684,281893,655942,1211787,127853,790049,532895,257154,1487426,1543,1543,1541,413,962,225,88,46,53.5,0.4
Jharkhand,"District Kodarma * (05), Jharkhand (20)",499403,249549,249854,26.32,78835,6,1001,974,0.81,Hindus,421358,Muslims,74856,Sikhs,1025,207495,140424,67071,52.2,70.94,33.61,207495,6584,70944,59545,25390,34863,10167,68435,143324,254310,33334,175010,109394,65616,324393,526,526,526,200,269,46,19,34,65.3,0.7
Jharkhand,"District Giridih (06), Jharkhand (20)",1904430,960679,943751,27.09,301872,6,982,977,9.69,Hindus,1475201,Muslims,383253,Others,30778,667385,469399,197986,44.5,62.09,26.62,667385,25575,231361,196026,90613,98939,24811,267261,558434,963754,114981,644644,340925,303719,1259786,2532,2532,2529,481,1232,221,70,28.9,70.6,0.6
Jharkhand,"District Deoghar (07), Jharkhand (20)",1165390,608878,556512,24.46,190037,6,914,972,12.25,Hindus,910409,Muslims,221705,Others,27263,469652,327557,142095,50.09,66.38,31.99,469652,11055,151615,132877,67813,80065,26206,151695,326959,613372,73364,432714,283711,149003,732676,2356,2356,2355,289,768,156,49,32.3,48.7,19
Jharkhand,"District Godda (08), Jharkhand (20)",1047939,544043,503896,21.61,192649,5,926,977,23.62,Hindus,745237,Muslims,210734,Others,68055,363825,253504,110321,43.13,57.52,27.39,363825,16954,101438,101841,53607,72291,17374,132227,290930,556822,67960,421941,238694,183247,625998,1633,1633,1576,257,892,179,53,23.2,27.4,49.5
Jharkhand,"District Sahibganj (09), Jharkhand (20)",927770,477662,450108,25.89,173104,5,942,972,29.15,Hindus,522620,Muslims,290060,Christians,58723,275829,181716,94113,37.61,47.93,26.56,275829,8481,92769,72112,42219,46385,13814,129704,266752,485415,45899,388045,278407,109638,539725,1307,1307,1207,119,599,113,13,18.8,56,25.2
Jharkhand,"District Pakaur * (10), Jharkhand (20)",701664,358545,343119,24.34,132987,5,957,964,44.59,Hindus,320632,Muslims,227069,Others,110628,170931,114765,56166,30.65,40.23,20.61,170931,8025,59171,48036,24863,24190,6634,95152,201183,372830,32499,309575,209435,100140,392089,1128,1128,1077,70,596,82,12,12.4,58.1,29.5
Jharkhand,"District Dumka (11), Jharkhand (20)",1759602,897364,862238,17.31,331318,5,961,976,39.89,Hindus,1323468,Muslims,203741,Others,170201,690834,462781,228053,47.94,62.86,32.35,690834,21877,230245,209924,105943,99816,22993,208261,473559,972781,105001,778378,470354,308024,981224,3737,3737,3718,213,1732,320,68,18.3,46.2,35.5
Jharkhand,"District Dhanbad (12), Jharkhand (20)",2397102,1278946,1118156,22.82,427939,6,874,951,8.46,Hindus,1944757,Muslims,364807,Others,61505,1348584,860583,488001,67,79.54,52.43,1348584,27670,316204,325848,246471,329778,102522,253402,649208,1381462,113030,664058,492501,171557,1733044,1121,1121,1121,503,708,183,61,63.4,33.2,3.4
Jharkhand,"District Bokaro * (13), Jharkhand (20)",1777662,938436,839226,22.11,317378,6,894,949,12.3,Hindus,1491855,Muslims,194735,Others,69202,923150,600048,323102,62.1,76.04,46.33,923150,19929,198945,214614,159357,247536,82686,189029,471903,1030028,86702,509310,336131,173179,1268352,621,621,614,121,482,114,52,57.6,35.1,7.3
Jharkhand,"District Ranchi (14), Jharkhand (20)",2785064,1436976,1348088,25.72,505508,6,938,961,41.82,Hindus,1399301,Others,767672,Muslims,348774,1500541,920164,580377,64.57,76.56,51.72,1500541,39249,339729,354556,249307,357487,160004,302609,735877,1569003,177575,1076904,750962,325942,1708160,2052,2052,2033,331,1343,362,1,32.6,65.9,1.5
Jharkhand,"District Lohardaga (15), Jharkhand (20)",364521,184507,180014,26.14,65915,6,976,944,55.7,Others,172064,Hindus,104089,Muslims,73316,156710,99218,57492,53.58,67.28,39.64,156710,3738,46441,42447,28107,27698,8227,47741,109562,184214,23004,153373,100918,52455,211148,352,352,351,45,254,68,6,10.9,88.8,0.2
Jharkhand,"District Gumla (16), Jharkhand (20)",1346767,675769,670998,16.6,253469,5,993,976,68.36,Hindus,440373,Christians,425107,Others,419004,568234,349223,219011,51.74,63.5,39.95,568234,12717,152438,159144,109189,108270,26466,161962,371009,715287,98509,658921,446953,211968,687846,1393,1393,1390,92,1015,290,129,9.2,90.4,0.4
Jharkhand,"District Pashchimi Singhbhum (17), Jharkhand (20)",2082795,1054641,1028154,16.35,405251,5,975,968,53.36,Others,1043701,Hindus,890741,Muslims,72044,857301,567204,290097,50.17,65.6,34.37,857301,18091,206253,233474,156525,193556,49399,249509,562101,1149941,121244,917757,535154,382603,1165038,2777,2777,2732,249,1914,485,25,20.4,68,11.6
Jharkhand,"District Purbi Singhbhum (18), Jharkhand (20)",1982988,1027433,955555,22.66,374772,5,930,941,27.85,Hindus,1318485,Others,408860,Muslims,184829,1169213,700242,468971,68.79,79.44,57.32,1169213,19167,227792,263554,189301,333179,136165,190115,454201,1203034,135638,692664,455527,237137,1290324,1610,1610,1605,455,906,194,22,48.2,28.1,23.7
Jammu Kashmir,"District Kupwara (01), Jammu & Kashmir (01)",650393,341303,309090,38.59,87052,7,906,1021,7.96,Muslims,633263,Hindus,12708,Sikhs,3454,232557,160215,72342,43.24,56.1,28.68,232557,19625,43762,49065,53021,57176,9893,72132,190792,345743,41726,212501,123713,88788,437892,362,359,290,345,346,149,67,44.54,30.34,25.13
Jammu Kashmir,"District Baramula (02), Jammu & Kashmir (01)",1169780,614816,554964,31.18,158901,7,903,963,7.17,Muslims,1141162,Hindus,15191,Sikhs,12141,447075,297267,149808,45.41,57.11,32.28,447075,31484,90604,97012,96009,106243,25681,118221,327845,646955,76759,371521,270992,100529,798259,639,639,601,617,595,266,98,73.2,19.4,7.4
Jammu Kashmir,"District Srinagar (03), Jammu & Kashmir (01)",1202447,649491,552956,31.45,168232,7,851,948,3.78,Muslims,1138175,Hindus,48853,Sikhs,12967,641267,405708,235559,59.75,69.57,48.07,641267,37075,89649,101964,115438,220417,76539,78478,291156,755683,77130,384669,330195,54474,817778,168,168,157,168,149,73,29,80.5,16.2,3.3
Jammu Kashmir,"District Badgam (04), Jammu & Kashmir (01)",629309,326050,303259,26.5,86489,7,930,1002,2.31,Muslims,617212,Hindus,6533,Sikhs,5317,226167,148386,77781,42.53,53.5,30.57,226167,20047,47633,49071,43950,52789,12608,60606,184958,342480,41265,225992,152980,73012,403317,470,470,408,467,419,179,59,80.8,14.6,4.6
Jammu Kashmir,"District Pulwama (05), Jammu & Kashmir (01)",652607,335544,317063,24.49,92738,7,945,1032,3.29,NA,637008,NA,8787,NA,6088,281518,178170,103348,49.6,60.66,37.73,281518,22280,54273,57661,53728,75934,17608,51519,181917,375871,43300,212599,151135,61464,440008,538,538,515,538,473,179,64,71,21,8
Jammu Kashmir,"District Anantnag (06), Jammu & Kashmir (01)",1172434,610007,562427,32.7,160395,7,922,986,8.63,Muslims,1154780,Hindus,11589,Sikhs,5553,463197,299910,163287,46.54,57.58,34.42,463197,41012,90591,97284,97638,110811,25804,111529,332187,649843,78875,394988,261678,133310,777446,605,605,552,594,562,254,83,52.7,27.6,19.6
Jammu Kashmir,"District Leh (Ladakh) (07), Jammu & Kashmir (01)",117232,64306,52926,30.42,24147,5,823,954,82.04,Buddhists,90618,Muslims,16156,Hindus,9573,68278,43664,24614,65.34,75.55,52.7,68278,4004,11984,15707,13957,18977,3572,8598,23440,74988,10206,58125,38776,19349,59107,112,112,97,96,111,65,29,3.5,38.3,56.5
Jammu Kashmir,"District Kargil (08), Jammu & Kashmir (01)",119307,64955,54352,31.39,17146,7,837,979,88.32,Muslims,95963,Buddhists,17875,Hindus,5142,60803,41832,18971,60.85,75.83,42.38,60803,3142,13572,12883,14497,15065,1635,12990,31356,67313,7648,55645,38330,17315,63662,127,127,122,91,126,74,37,6.4,55.1,38.5
Jammu Kashmir,"District Doda (09), Jammu & Kashmir (01)",691929,363526,328403,26.76,109500,6,903,964,11.53,Muslims,400765,Hindus,286849,Sikhs,1942,274425,193834,80591,47.9,63.99,29.85,274425,13204,63657,62058,63344,62773,9365,78676,193479,371881,47893,318280,194309,123971,373649,654,649,622,574,557,274,106,17.6,75.1,7.3
Jammu Kashmir,"District Udhampur (10), Jammu & Kashmir (01)",743509,399686,343823,26.95,122462,6,860,930,14.78,Hindus,542593,Muslims,190112,Sikhs,7723,343429,225888,117541,55.21,67.07,41.2,343429,13555,70678,90460,77607,76342,14762,82529,190144,418530,52306,366430,245387,121043,377079,594,594,542,524,535,226,96,26.9,56.3,16.8
Jammu Kashmir,"District Punch (11), Jammu & Kashmir (01)",372613,194213,178400,28.08,59848,6,919,958,39.99,Muslims,342512,Hindus,19391,Sikhs,10297,156398,104051,52347,51.19,65.04,35.96,156398,6610,32185,38931,40392,31434,6832,44958,101706,197397,28552,201100,86507,114593,171513,172,172,168,170,168,115,62,13.9,80.4,5.7
Jammu Kashmir,"District Rajauri (12), Jammu & Kashmir (01)",483284,257336,225948,25.19,81116,6,878,904,33.12,Muslims,291067,Hindus,180162,Sikhs,11601,234228,150444,83784,57.99,69.76,44.51,234228,7256,44306,60684,66255,47476,8237,52990,128801,266269,35224,218212,118413,99799,265072,377,377,339,360,344,192,101,21.8,77.2,1
Jammu Kashmir,"District Jammu (13), Jammu & Kashmir (01)",1588772,850302,738470,28.39,304100,5,868,816,3.36,NA,1366711,NA,117490,NA,90272,1070574,625605,444969,77.02,84.45,68.55,1070574,20757,151313,220259,261039,312206,104813,134773,343463,976467,134069,528331,434430,93901,1060441,1043,1040,1034,1033,787,327,126,74.1,12.4,12.9
Jammu Kashmir,"District Kathua (14), Jammu & Kashmir (01)",550084,289391,260693,20.91,96393,6,901,840,6.21,NA,493966,NA,44793,NA,9152,307370,185654,121716,65.57,75.71,54.44,307370,6881,56273,78668,77174,74150,14199,55604,132178,316216,46086,205422,161823,43599,344662,556,556,538,531,452,241,90,52.8,21.5,25.6
Karnataka,"District Belgaum (01), Karnataka (29)",4214505,2150090,2064415,17.4,789164,5,960,921,5.78,NA,3565153,NA,440836,NA,169466,2305279,1381748,923531,64.21,75.7,52.32,2305279,32577,675665,681713,233698,555114,126507,433021,986374,2455680,339430,1877774,1537645,340129,2336731,1255,1254,1254,1247,1240,979,404,53.6,39.4,6.9
Karnataka,"District Bagalkot * (02), Karnataka (29)",1651892,834247,817645,18.84,293645,6,980,939,4.85,Hindus,1424121,Muslims,184013,Others,23882,794785,494544,300241,57.3,70.88,43.56,794785,16621,254452,230572,73843,175891,43406,183689,410814,936098,121291,719659,561559,158100,932233,623,618,617,617,560,476,155,25.1,66.9,7.9
Karnataka,"District Bijapur (03), Karnataka (29)",1806918,926424,880494,17.63,317379,6,950,928,1.66,Hindus,1495080,Muslims,294491,Others,8356,866561,543869,322692,57.01,69.94,43.47,866561,18729,276393,240833,81050,193305,56251,196532,468652,995702,146032,718213,551972,166241,1088705,660,659,658,657,626,558,244,26.9,63.8,9.2
Karnataka,"District Gulbarga (04), Karnataka (29)",3130922,1592789,1538133,21.02,536056,6,966,937,4.92,Hindus,2381497,Muslims,551171,Buddhists,153619,1297445,812860,484585,50.01,61.77,37.9,1297445,42131,397499,345382,123657,310638,78138,358729,882140,1667646,222407,1350072,1010430,339642,1780850,1360,1327,1323,1342,1337,808,249,59.5,35.4,5.1
Karnataka,"District Bidar (05), Karnataka (29)",1502373,771022,731351,19.56,252250,6,949,941,12.13,Hindus,1020174,Muslims,295762,Buddhists,122083,768358,468571,299787,60.94,72.46,48.81,768358,27404,197821,223243,76573,196756,46559,160329,414390,807175,120479,557603,424985,132618,944770,599,596,596,596,591,411,157,75.2,22.5,2.3
Karnataka,"District Raichur (06), Karnataka (29)",1669762,841840,827922,21.93,297775,6,983,964,18.15,Hindus,1417051,Muslims,228652,Christians,12390,676799,429277,247522,48.81,61.52,35.93,676799,28540,245076,177843,58192,134598,32550,188170,469845,912629,99118,732762,544347,188415,937000,830,806,783,796,306,254,77,24,44.3,31.6
