State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Madhya Pradesh,"District Vidisha (31), Madhya Pradesh (23)",1214857,647838,567019,25.18,214612,6,875,943,4.88,Hindus,1071618,Muslims,122788,Others,17757,608083,392534,215549,61.83,74.23,47.4,608083,16937,227187,183353,81228,66431,32781,158677,332091,627098,96991,451787,346221,105566,763070,1533,1502,1501,1479,1195,232,74,27.5,70.4,2.1
Madhya Pradesh,"District Bhopal (32), Madhya Pradesh (23)",1843510,972649,870861,35.91,350061,5,895,924,3.29,Hindus,1346829,Muslims,421365,Others,22238,1159823,673981,485842,74.61,81.94,66.37,1159823,19149,234329,247944,181511,277470,198979,196839,443196,1085046,118429,591454,500524,90930,1252056,512,510,510,511,411,83,29,67,26.9,6.1
Madhya Pradesh,"District Sehore (33), Madhya Pradesh (23)",1078912,565137,513775,28.22,183477,6,909,927,10.76,Hindus,961700,Muslims,109122,Others,5936,550972,354429,196543,63.07,77.28,47.36,550972,24021,191731,162327,84152,65592,22872,138982,296477,555164,88289,451442,308433,143009,627470,1019,1018,1018,1014,939,220,74,47.7,48.8,3.5
Madhya Pradesh,"District Raisen (34), Madhya Pradesh (23)",1125154,598247,526907,27.8,201389,6,881,936,15.74,Hindus,1009511,Muslims,101922,Others,10459,658705,398632,260073,72.16,81.58,61.3,658705,46122,233270,182033,95054,75988,26154,146773,304614,590483,83284,411721,308803,102918,713433,1425,1403,1397,1339,1227,380,84,35.5,62.3,2.2
Madhya Pradesh,"District Betul (35), Madhya Pradesh (23)",1395175,709956,685219,27.8,249103,6,965,969,39.41,Hindus,1340631,Muslims,32554,Buddhists,12957,770252,453686,316566,66.38,76.81,55.58,770252,37162,267521,207368,107066,114482,36605,160589,372349,754125,108112,615976,418604,197372,779199,1343,1333,1329,1298,1263,381,175,29.1,68.9,2
Madhya Pradesh,"District Harda * (36), Madhya Pradesh (23)",474416,247226,227190,24.53,83820,6,919,925,26.63,Hindus,441743,Muslims,29554,Others,1505,257682,157472,100210,66.51,77.94,54.06,257682,9429,105115,70653,31456,29648,11368,60308,126280,250368,37460,213226,152079,61147,261190,513,512,510,486,394,68,19,49,44.4,6.6
Madhya Pradesh,"District Hoshangabad (37), Madhya Pradesh (23)",1084265,571774,512491,22.4,200399,5,896,926,15.13,Hindus,1025978,Muslims,45155,Christians,4319,635839,388376,247463,70,80.83,57.83,635839,17219,190326,170657,99721,110481,47367,121086,275129,602656,85394,387120,293965,93155,697145,929,925,924,883,796,187,75,57.6,38.8,3.6
Madhya Pradesh,"District Katni * (38), Madhya Pradesh (23)",1064167,548368,515799,20.61,216451,5,941,951,23.07,Hindus,1021106,Muslims,30474,Others,5307,555204,351232,203972,63.56,77.94,48.24,555204,12422,178803,156659,90917,88799,27570,131249,267054,590474,75390,443695,295075,148620,620472,896,884,881,847,782,235,118,27.4,71.4,1.2
Madhya Pradesh,"District Jabalpur (39), Madhya Pradesh (23)",2151203,1127304,1023899,22.59,431968,5,908,930,15.01,Hindus,1891876,Muslims,167522,Others,32383,1396120,818931,577189,75.69,84.56,65.88,1396120,22022,309193,346309,245581,322023,150769,209539,500039,1288588,153037,799602,624580,175022,1351601,1386,1334,1331,1342,1053,273,107,51.3,47.4,1.3
Madhya Pradesh,"District Narsimhapur (40), Madhya Pradesh (23)",957646,501645,456001,21.88,183149,5,909,917,13.17,Hindus,912409,Muslims,33461,Others,8178,624793,362954,261839,77.73,86.13,68.47,624793,37451,218178,163508,89801,90348,25469,106524,231947,540415,78760,403463,310073,93390,554183,1052,1017,1008,1033,855,228,112,36.7,61.9,1.4
